100,6.17
110,6.30
121,6.22
133,6.15
146,6.18
161,6.09
177,6.10
194,6.28
214,6.06
235,6.07
259,6.09
285,6.04
313,6.04
345,6.05
379,6.04
417,6.06
459,6.03
505,6.04
555,6.03
611,6.35
672,6.25
740,6.11
814,6.14
895,6.12
984,6.03
1083,6.13
1191,6.19
1310,6.14
1442,6.15
1586,6.37
1744,7.45
1919,6.19
2111,6.03
2322,6.07
2554,6.03
2810,6.18
3091,6.86
3400,7.07
3740,6.17
4114,9.03
4525,6.03
4978,6.04
5476,6.08
6024,6.20
6626,6.95
7289,6.61
8017,6.70
8819,9.01
9701,6.03
10671,6.04
11739,6.03
12912,6.11
14204,17.34
15624,6.17
17187,6.04
18905,6.13
20796,6.14
22876,6.25
25163,6.39
27680,6.05
30448,6.28
33492,8.89
36842,6.38
40526,6.05
44579,7.55
49037,6.67
53940,12.99
59334,9.14
65268,6.05
71795,6.71
78974,6.51
86872,6.06
95559,6.08
105115,6.08
115626,7.15
127189,6.24
139908,6.16
153899,6.85
169289,8.47
186218,8.67
204840,6.46
225324,6.38
247856,6.12
272642,8.12
299906,8.08
329896,8.37
362886,6.35
399175,7.04
439092,6.12
483002,6.16
531302,6.81
584432,7.38
642875,14.01
707163,14.48
777879,23.62
855667,12.79
941234,12.11
1035357,8.64
1138893,11.67
1252782,21.70
1378061,19.17
1515867,17.60
1667454,12.88
1834199,7.14
2017619,7.07
2219381,7.06
2441319,16.23
2685451,10.92
2953996,13.87
3249396,7.17
3574335,6.96
3931769,7.07
4324946,7.15
4757441,6.49
5233185,6.46
5756503,6.42
6332154,6.54
6965369,6.51
7661906,6.44
8428097,6.46
9270906,6.45
