100,6.21
110,6.10
121,6.07
133,6.09
146,6.06
161,6.06
177,6.06
194,6.08
214,6.04
235,6.06
259,6.05
285,6.04
313,6.08
345,6.04
379,6.03
417,6.05
459,6.04
505,6.05
555,6.20
611,6.05
672,6.02
740,6.04
814,6.22
895,6.21
984,6.02
1083,6.04
1191,6.04
1310,6.02
1442,6.04
1586,6.13
1744,6.03
1919,6.03
2111,6.03
2322,6.03
2554,6.03
2810,6.72
3091,6.03
3400,6.03
3740,6.03
4114,6.03
4525,6.03
4978,6.02
5476,6.03
6024,6.03
6626,6.03
7289,6.03
8017,6.04
8819,6.05
9701,6.03
10671,6.84
11739,6.03
12912,6.03
14204,6.14
15624,6.14
17187,6.11
18905,6.03
20796,6.03
22876,6.05
25163,6.07
27680,6.12
30448,6.14
33492,6.41
36842,6.16
40526,6.19
44579,6.66
49037,7.55
53940,6.03
59334,6.07
65268,6.03
71795,6.03
78974,6.11
86872,6.07
95559,6.77
105115,6.48
115626,8.44
127189,6.17
139908,6.18
153899,6.27
169289,6.30
186218,6.17
204840,6.15
225324,6.36
247856,6.28
272642,6.26
299906,6.51
329896,6.32
362886,6.21
399175,6.21
439092,6.45
483002,6.23
531302,6.50
584432,6.33
642875,6.49
707163,6.83
777879,6.71
855667,6.16
941234,6.19
1035357,6.25
1138893,6.28
1252782,6.19
1378061,6.16
1515867,6.15
1667454,6.18
1834199,6.17
2017619,6.17
2219381,6.17
2441319,6.17
2685451,6.26
2953996,6.21
3249396,6.66
3574335,6.31
3931769,6.46
4324946,6.18
4757441,6.20
5233185,6.32
5756503,6.34
6332154,6.35
6965369,6.21
7661906,6.44
8428097,11.96
9270906,6.34
